username, name, party, id, tweets
RepAdams,Rep. Alma Adams,D,2916086925,"['Happy #Pride Charlotte! https://t.co/TUrVjVYNcC', 'RT @qcitymetro: “We’ve reached a point in our country where people have legitimate concerns about making it home at the end of the day,” U.…', 'There were six murders in Charlotte last week.\n\nOver 75% of the murders committed in Charlotte so far this year involved a firearm.\n\nAt some point our country has to admit that the guns are the problem.', 'People around the world watch American TV and movies.\n\nThey play American video games. \n\nThey listen to our music. \n\nThey deal with mental illness and crime.\n\nThe time for excuses is over. It’s the guns and we know it. #WearOrange https://t.co/HXHdgrYN2s', 'My prayers are with the City of Brotherly Love this morning, as well as the victims, the survivors, and their families and friends.\n\nFor them and many others, I will vote for comprehensive measures to address our country’s gun violence epidemic this week. https://t.co/7OkQKhCPTt', 'RT @erinmdouglas23: He had wanted to give Eliahna a ring. Instead, he had to place it on her memorial. He is struggling with trauma. He is…', 'In case you missed it, you can watch the replay of our Gun Violence Awareness Day virtual event here: https://t.co/mSXynksXnM via @YouTube', 'RT @Everytown: Last year was the deadliest year on record for trans and gender-nonconforming Americans, most of whom were Black trans women…', 'RT @alysoncraigCLT: UDO 2nd draft is here!  Visit https://t.co/bJpWhEi5CF to view all 685 pages redlined to clearly show changes.  Need the…', 'RT @CharMeckDA: DA Merriweather was honored to join @RepAdams &amp; Grace McLain of @MomsDemand for a virtual conversation with the public toda…']",[]
RepPeteAguilar,Rep. Pete Aguilar,D,3018670151,"['RT @AP: The House committee investigating the Jan. 6 insurrection at the Capitol will go public with its findings in a hearing next week, l…', 'RT @SuzGamboa: The mariachis came to #Uvalde https://t.co/YCpqlAiDIh', 'Tomorrow at 5pm @SenAlexPadilla and I will be hosting a Townhall to discuss the Bipartisan Infrastructure Law, Community Project Funding and more. We will stream live on Facebook. https://t.co/rfc1bXTC7o', 'Today, we honor the men and women who gave their lives for their country. I was proud to join local leaders in San Bernardino this morning to commemorate #MemorialDay https://t.co/FknUy37f8l', 'I presented @EmpireKVCR $1 million to help local students gain hands-on career training in journalism and public broadcasting. I’m proud to be able to deliver much-needed resources for our community and help our young people succeed. https://t.co/f5hJKpGfBd', 'We are not hopeless. House Democrats have already passed legislation for federal background checks. There’s no reason we can’t come together to #StopGunViolence', 'In 2018, Floridians overwhelmingly supported restoring voting rights to formerly incarcerated people. But the state legislature found a workaround and put a poll tax in place, denying these same people their rights. This is unacceptable and must be changed. https://t.co/BII4obl2mM', 'Please take a minute to watch this ⬇️ https://t.co/uwuj9iiNWY', 'RT @JamesFallows: Home town in the news!\n\nFormer mayor of Redlands CA, and current Congressman (until new district lines kick in) Pete Agui…', 'I was thrilled to present $1 million to the City of Upland to help build the new Tom Thomas Magnolia Plaza in the heart of downtown. This is going to strengthen our small businesses which are the backbone of our economy. Proud to help secure this funding to help our communities. https://t.co/TjcO3IOJNk']",[]
RepColinAllred,Rep. Colin Allred,D,1078355119920562176,"['We have to do whatever we can to save lives. Inaction is not an option.\n\nWatch my interview with @WolfBlitzer on @CNNSitRoom. https://t.co/hQpg8W0LCJ', 'An important update from @POTUS’s Operation Fly Formula: another big shipment is on its way, this time to Ft. Worth for distribution across the country. The work continues to help parents get the formula they need to feed their babies.\nhttps://t.co/A2uPFyOLVz', 'Anything that will save lives, we have to do. This week, the House will pass common-sense gun safety measures, but we still need 10 Republicans in the Senate to join us.\n\nWe must break the ice and get something done to save lives.\n\nWatch my interview with @jdbalart. https://t.co/4FbN0BQ4ZC', ""Texas is home to some of the brightest research minds and bringing @POTUS's proposed biomedical research program ARPA-H to the Lone Star State would position Texas as a leader in the field. That's why I joined @RepFletcher and my colleagues in calling for ARPA-H to come to Texas. https://t.co/wvRI6f3YuN"", '#OTD 78 years ago, allied troops stormed the beaches of Normandy for what would become one of the most pivotal days in WWII. Today we honor those brave patriots and recommit to the fight against tyranny everywhere. https://t.co/we8R1IjjFE', 'Thanks to the No Surprises Act, more than 12 million potential surprise bills could be avoided this year. There is more work to do, but I’m proud to have helped pass this legislation, and that it is already making a big impact. \nhttps://t.co/xhcbWznqmN', 'I refuse to accept that nothing can be done to solve the crisis of gun violence. Common-sense reforms like red flag laws, universal background checks and raising the age to purchase an assault weapon have bipartisan support and will save lives. https://t.co/afRirdTSmt', 'My mother is a breast cancer survivor, so I know the struggles and challenges of families dealing with cancer. I’ll always make it a priority so those who are battling cancer or are in remission can get the care and support they need. #NationalCancerSurvivorsDay', 'I know firsthand the challenges and struggles families face when a loved one is diagnosed with Alzheimer’s. As we recognize #AlzheimersAwarenessMonth, I promise to keep fighting for resources to find a cure and support North Texans living with Alzheimer’s and their families. https://t.co/ozZlZD4Aw7', 'Uvalde, Buffalo, Tulsa, El Paso, Sutherland Springs, Sandy Hook. \n\nI #WearOrange today because as we honor the lives of those taken from us by gun violence, I refuse to believe there is nothing we can do to prevent these tragedies.\n\nThe time for action is now. #EndGunViolence https://t.co/41NtGwHL6N']",[]
RepAuchincloss,Rep. Jake Auchincloss,D,1330278736554582016,"['RT @AymanMSNBC: “I have no confidence that Mitch McConnell will do the right thing,” says @RepAuchincloss of the GOP Senate leader’s role i…', 'Tune in to @MSNBC at 9:00 PM ET to watch me chat next steps on gun safety legislation with @AymanMSNBC https://t.co/XORtrAhi3W', 'RT @HannaSwit: Today &amp; this weekend we #WearOrange &amp; come together as @TownofSharonMA recognizing the need to #EndGunViolence.Thank you @Re…', 'It was a privilege to stand with @MomsDemand in Sharon this morning. Massachusetts gun safety laws work and we need to make them the national model. https://t.co/tTrF2LmDk0', '#WearOrange I’m not going to stop fighting until we have a federal assault weapons ban. https://t.co/jOGRe3H58Q', 'RT @JessiTurnure: ""These are weapons of war... in the Marine Corps, I slept 8 train patrol with an AR-15 for three months before I was even…', 'The United States should not flinch because Russia flexes. Send the long-range rockets. https://t.co/JTcswyRlcj', 'Semper fidelis. https://t.co/uDD9Qo1dIL', 'Let us commit ourselves - as we honor those who protected our children’s freedom overseas - to protecting our children here at home as well. #MemorialDay https://t.co/bFiUnKqKaO', 'The NRA is hosting a party in the backyard of a school shooting before 19 students and two teachers had even been laid to rest. Is this really an organization that people want to be a part of? https://t.co/0zrg1ATipL']",[]
RepCindyAxne,Rep. Cindy Axne,D,1080865917377097728,"[""In celebration of #PrideMonth, I'm honoring Jordan Mix of @iowasafeschools as our #IowanOfTheWeek.\n\nJordan is a tireless advocate for LGBTQ+ youth and families who works to ensure that they have what they need to feel supported and empowered.\nhttps://t.co/xa4LgFF3dk https://t.co/uPQstUvK3i"", ""Today, @RepCheri &amp; I wrote to @SecRaimondo urging the Commerce Dept. to prioritize rural America in upcoming supply chain &amp; innovation investments.\n\nThis way, we'll tap into the workforce and resources in rural America and create jobs while boosting American competitiveness. https://t.co/cne0Na1k1y"", ""This rule will set the Renewable Fuel Standard back on track and provide certainty for Iowa farmers.\n\nThankful that @POTUS knows just how crucial the biofuels industry is to supporting Iowa's farmers and rural communities, and to easing pain at the pump.\nhttps://t.co/MwVMi2T10Q"", ""Since coming to Congress, I've been laser-focused on cutting costs and expanding opportunities for Iowans, and I'm proud that this work has earned me the title of most bipartisan member of the Iowa congressional delegation for the second year in a row. ⤵️\nhttps://t.co/TIhSFYOUFn"", ""Reminder: @HHSGov's new website provides resources for families struggling to locate baby formula amid the national shortage.\n\nVisit https://t.co/JURq6DAKQ7 for more information."", ""There have been over 200 mass shootings in America this year, &amp; just last night, a senseless shooting claimed lives in Ames.\n\nOn #GunViolenceAwarenessDay, we must honor the victims' memories with action &amp; work to end this epidemic once and for all. https://t.co/aW6ZoJLN9S"", 'My prayers are with the victims of tonight’s shooting, their families, and the people of Ames.\xa0\n\nEnough is enough.\xa0\n\nI am working with my colleagues in Congress to pass federal gun safety measures. \n\nThe time to act is now. https://t.co/vaD9KWSrZI', 'It was an honor to work with @DrakeUniversity journalism students to help tell the stories of these heroes.\nhttps://t.co/2shWgbyBbo', 'Another senseless act of gun violence in America.\n\nEnough is enough — we must pass commonsense gun reforms to protect our communities.\nhttps://t.co/K1ARyY4E3a', 'American drivers have reached 30 billion miles driven on #E15 because:\n• E15 reduces carbon emissions.\n• E15 saves up to almost $.60/gallon at the pump.\n• E15 is approved for 96% of cars on the road today.\n\nAre you fueling up with E15? #30BillionMilesOnE15']",[]
RepBarragan,Nanette D. Barragán,D,816833925456789505,"['Viaje gratis en los camiones y trenes de Metro el día de las elecciones, el próximo martes 7 de junio.\n \nSi recibió una boleta por correo, hay buzónes para depositar su voto en 8 estaciones de Metro.\n \nVer mapa. Más información: https://t.co/ot1zt2Y4D3', 'RT @metrolosangeles: Ride free on Metro buses and trains on Election Day -- this coming Tuesday, June 7. If you received a ballot in the ma…', 'This is a critical use of the #DefenseProductionAct by @POTUS to boost solar &amp; accelerate the manufacturing of clean energy technologies like heat pumps.\n \nThis reduces our dependence on Big Oil, creates green jobs, and fights climate change. https://t.co/3gQ4E7HGdY', '#TeamBarragán stayed in @cityofcarson_ca to celebrate the 124th Philippine Independence Day.\n\nProud to represent such a vibrant, established, &amp; active Filipino Community in #Carson . \n\nHappy Philippine Independence Day! #CA44 https://t.co/0piHjphSCt', 'Today, we saw our future scientists, engineers, &amp; innovators from #CA44 hard at work at @bgcofcarson putting their robots to the test in a series of competitions.\n\nThese young kids have bright futures &amp; will bring  diversity &amp; innovation to #STEM fields in the future. https://t.co/w96kBUGEIo', '#TeamBarragán was out in #CA44 this weekend! \n\nYesterday we joined @first5la, @providence Wilmington Wellness Ctr, &amp; Best Start Wilmington at @lahcedu.\n\nGreat to see after 3 years of hard work the creation of a safe decorative crosswalk to help residents cross Figueroa safely! https://t.co/yPjzETLVrR', 'Go @Dodgers! #Pride https://t.co/qTDl12zyvD', '🚨 RECUERDE 🚨 California tiene elecciones primarias el martes 7 de junio. \n\nRecuerde Votar! \n\nPara encontrar el centro de votación mas cercano o la entrega de boleta en el área metropolitana de Los Angeles ingrese la dirección en @latimes en el mapa 👇🏽 https://t.co/JbNWwFdHda', '🚨 REMINDER 🚨 California has a primary election coming up on Tuesday, June 7th.\n\nRemember to vote!\n\nIf you’re in Los Angeles or LA Metro area &amp; need help finding your nearest vote center or ballot drop off location, see @latimes interactive map below 👇🏽 https://t.co/JbNWwFdHda', 'Proud to have gotten #TRIUMPHforNewMoms included in H.R. 7666, the Restoring Hope for Mental Health and Well-Being Act.\n\nThank you @2020MomProject for your advocacy on the importance of addressing the maternal mental health crisis. \n\nhttps://t.co/vLZwQxg7uJ']",[]
RepKarenBass,Congressmember Bass,D,239949176,"['RT @SecFudge: Thursday, I was in Los Angeles with @RepKarenBass speaking with folks on the ground about the homelessness crisis and the way…', ""RT @Elex_Michaelson: .@RepKarenBass invited @SecFudge to see L.A.'s homelessness first hand. \n\nBass says L.A. needs more @HUDgov housing vo…"", 'RT @FOXLA: U.S. Housing and Urban Development Secretary Marcia Fudge visited Los Angeles Thursday at the request of Rep. Karen Bass to get…', 'Today was an incredibly important step in the fight against homelessness in Los Angeles.\n\nThank you @SecFudge for coming to our city to continue talks with folks on the ground and to examine ways to leverage HUD resources to produce quality housing in our communities. https://t.co/QstCcUrbab', 'RT @SecFudge: It was a pleasure to visit Rolland Curtis Gardens this afternoon with @RepKarenBass and local leaders who are both deeply com…', 'One group that’s incredibly prone to falling into homelessness is people who were formerly incarcerated. \n\nToday, @SecFudge and I are meeting with service providers to find ways to make changes that will ultimately get people in housing faster. https://t.co/nVGbANHoEq', 'RT @Elex_Michaelson: .@SecFudge of @HUDgov is in Los Angeles to meet with @RepKarenBass on the issue of homelessness. \n\nThe two are spendin…', 'We have to be solution-oriented when it comes to this crisis. \n\nThe Hilda L. Solis Care First Village serves as a steppingstone for unsheltered Angelenos through housing, wellness, employment. \n\nThank you @HildaSolis for joining me and @SecFudge today. https://t.co/4BL8uD0pQ6', ""RT @SecFudge: Today, I'm in Los Angeles with @RepKarenBass to work with subject matter experts and decision makers on the city’s efforts to…"", 'More than 60,000 people are experiencing homelessness across Los Angeles County. \n\nI invited @SecFudge here to get a first-hand look at the homelessness crisis and to see what more we can do on the federal level to get people housed. https://t.co/dBjaQmcunN']",[]
RepBeatty,Rep. Joyce Beatty,D,1531521632,"['$850,000 to YWCA Columbus for safety renovations and improvements to amenities at the emergency homeless shelter, which serves approximately 500 families annually. https://t.co/MD4rcPANsx', '$450,000 to the Columbus Urban League for the redevelopment and alignment of office space to provide critical business support services and improve access to capital for Black and minority-owned companies in Central Ohio. https://t.co/Xoyh4chy4w', '$150,000 to Equitas Health to purchase a Mobile Outreach Vehicle like the one I toured at their Columbus location. https://t.co/oyaR25pFBP', '🧵We are still hard at work promoting the lifechanging funds secured through Community Project Funding.\n\nIn FY22, I was able to secure $5+ million, including...', '78 years ago, more than 160,000 Allied troop stormed the beach of Normandy, France to fight Nazi Germany. Today we celebrate their achievement and honor the lives lost that day.', 'RT @JoaquinCastrotx: Americans want gun reform. The question is whether Republican politicians at the federal, state and local levels will…', 'Today would have been Breonna Taylor’s 29th birthday. As we honor her life, we must continue our push for nationwide police reform, including a full federal ban on no-knock warrants. https://t.co/DaRjWtggNo', '103 years ago today, the US Senate passed the 19th Amendment, the result of years of activism from American suffragettes that included everything from marches to protests to provocative art. This stamp, from 1915, was a small part of that important chapter in our history. https://t.co/ENxnCQR59D', 'On this day in 2016, we lost one of the most influential athletes of all time, Muhammad Ali. Ali was a 3 time heavyweight title winning boxer and one of the most iconic sports figures of the 20th century. #MuhammadAli', 'Wishing the happiest of happy birthdays to our First Lady, Dr. Jill Biden! https://t.co/ra2Ce2dgMT']",[]
RepBera,"Ami Bera, M.D.",D,950783972,"[""Global supply chain disruptions have led to delays and higher prices for Americans.\n\nThat's why I voted for the #BipartisanInfrastructureLaw, which makes transformational upgrades to our ports and airports, helping goods get to the market faster and at lower costs for Americans."", 'RT @ThirdWayEcon: The Easy Enrollment in Health Care Act from Senator @ChrisVanHollen and @RepBera will enroll millions of Americans in hea…', 'Happy Pride Month to our LGBTQ+ family, friends, and neighbors in #CA07 and around the country! 🏳️\u200d🌈\n\nAs a proud member of @LGBTEqCaucus, I believe we have a responsibility to protect equal rights under the law for EVERYONE. https://t.co/4u3imvwB6H', 'RT @SacCountyCA: There are 18 Vote Centers now open daily through Election Day - even on weekends - and you can go to ANY Vote Center in th…', 'Today and every day, we pay tribute to the men and women in uniform who made the ultimate sacrifice serving our country.\n\nWe are forever indebted to our servicemembers for their bravery in defending our liberties and freedoms.\n\n#MemorialDay 🇺🇸 https://t.co/1xgpkWmJBI', ""Congrats to Ritu of Vista Del Lago High School for winning the 2022 #CA07 Congressional Art Competition!\n\nI look forward to seeing Ritu's artwork, “A Generation Apart,” displayed in the U.S. Capitol for the next year, alongside winning pieces from every district in the country. https://t.co/9f41kCyojw"", 'It was a pleasure to visit @LionElectricCo in #SacramentoCounty to see their innovations in zero emission school buses.\n\nThanks to the Bipartisan Infrastructure Law, our nation’s school buses are becoming cleaner and safer. 🚌 https://t.co/XyqOICaKKu', 'RT @HouseForeign: Chairs @RepGregoryMeeks and @RepBera issue statement on the launch of the Indo-Pacific Economic Framework for Prosperity…', 'I’m saddened by the horrific school shooting in Uvalde, Texas. My heart is with the victims, their families, and the entire community.\n\nWe MUST do more as a society to prevent these all-too-common tragedies. No parent should ever fear dropping their child off at school.', 'Great to speak today with members of the Carmichael Chamber of Commerce.\n\nWe discussed efforts to fight inflation and bring down costs for #CA07 families and small businesses, as well as the need to pass the COMPETES Act to spur U.S. manufacturing and innovation. https://t.co/PPPa184Tpa']",[]
RepDonBeyer,Rep. Don Beyer,D,2962868158,"['This evening I walked the Bluemont Trail with residents and @ArlingtonVA leaders -- highlighting the Community Funding Project funding I secured for trail improvements. https://t.co/eKNucuSwO4', 'RT @StateDept: On June 25, the Department flew the Progress flag for the first time over Washington, DC headquarters. @DeputySecState: “The…', 'RT @briandevine: .@RepDonBeyer to propose 1,000 percent tax on assault-style weapons https://t.co/CQ40ZgGiBO', 'RT @atrupar: seen on Fox News https://t.co/UlmuSPcnv1', 'RT @AaronBlake: As Roe v. Wade faces demise, support for abortion rights hits new highs\n\nhttps://t.co/xv67IaJuHY', 'RT @RepDwightEvans: I strongly support &amp; will co-sponsor this creative bill to use the tax code to help fight with gun violence, from my @W…', 'RT @jimsciutto: Question: Did the 1994 assault weapons ban lead to a decrease in mass shootings?\nAnswer: “We found that there was a signifi…', 'RT @nnienass: Such a great exchange with @RepDonBeyer. Looking forward to foster international dialogue together - for a sustainable space…', 'RT @SecDef: ""I have full confidence in your courage, devotion to duty, and skill in battle. We will accept nothing less than full victory.""…', 'RT @JECDems: ""The latest jobs data showing continued growth underscore the strength of our economic rebound. We’re on the path to a sustain…']",[]
